Object Name,Pos X,Pos Y,Pos Z,Rotation Y (Degrees),Booth Name
S1B1,-0.4451,2.8704,-32.6909,-90,범용 인공지능 연구센터
S1B2,-0.4451,2.8704,-27.1966,-90,초지능연구센터
S1B3,0.452,2.8704,-27.1966,90,스마트ICT융합인재양성센터
S1B4,0.452,2.8704,-32.6909,90,지능화혁신G5-AICT연구센터
S1B5,-9.1068,2.8704,-30.5762,90,스마트ICT융합인재양성센터
S1B6,-9.1068,2.8704,-25.082,90,지능화혁신G5-AICT연구센터
S1B7,-9.1068,2.8704,-19.5877,90,경남지능화혁신사업단
S2B1,-0.4451,2.8704,-16.6703,-90,인공지능그랜드ICT연구센터
S2B2,-0.4451,2.8704,-11.176,-90,디지털트윈 기반 스마트에너지 시티 산업 인프라
S2B3,-0.4451,2.8704,-5.6818,-90,연구센터1
S2B4,0.452,2.8704,-5.6818,90,연구센터1
S2B5,0.452,2.8704,-11.176,90,연구센터2
S2B6,0.452,2.8704,-16.6703,90,연구센터3
S2B7,-9.1068,2.8704,-8.5991,90,연구센터4
S3B1,-0.4451,2.8704,4.4832,-90,연구센터5
S3B2,-0.4451,2.8704,9.9775,-90,연구센터1
S3B3,0.452,2.8704,9.9775,90,연구센터2
S3B4,0.452,2.8704,4.4832,90,연구센터3
S3B5,-9.1068,2.8704,4.2742,90,연구센터4
S3B6,-9.1068,2.8704,9.7684,90,연구센터5
S3B7,-9.1068,2.8704,15.2627,90,연구센터1
S4B1,-0.4451,2.8704,19.877,-90,연구센터2
S4B2,-0.4451,2.8704,25.3713,-90,연구센터3
S4B3,-0.4451,2.8704,30.8656,-90,연구센터4
S4B4,0.452,2.8704,30.8656,90,연구센터5
S4B5,0.452,2.8704,25.3713,90,연구센터1
S4B6,0.452,2.8704,19.877,90,연구센터2
S4B7,-9.1068,2.8704,27.2859,90,연구센터3
S4B8,-9.1068,2.8704,32.7802,90,연구센터4
S5B1,9.5403,2.8704,-16.6703,-90,연구센터5
S5B2,9.5403,2.8704,-11.176,-90,연구센터1
S5B3,9.5403,2.8704,-5.6818,-90,연구센터2
S5B4,10.4397,2.8704,-5.6818,90,연구센터3
S5B5,10.4397,2.8704,-11.176,90,연구센터4
S5B6,10.4397,2.8704,-16.6703,90,연구센터5
S5B7,19.6072,2.8704,-18.5829,-90,연구센터1
S5B8,19.6072,2.8704,-13.0887,-90,연구센터2
S5B9,19.6072,2.8704,-7.5944,-90,연구센터3
S5B10,19.6072,2.8704,-2.1001,-90,연구센터4
S6B1,9.5403,2.8704,4.4832,-90,연구센터5
S6B2,9.5403,2.8704,9.9775,-90,연구센터1
S6B3,10.4397,2.8704,9.9775,90,연구센터2
S6B4,10.4397,2.8704,4.4832,90,연구센터3
S6B5,19.6072,2.8704,3.3942,-90,연구센터4
S6B6,19.6072,2.8704,8.8884,-90,연구센터5
S6B7,19.6072,2.8704,14.3827,-90,연구센터1
S7B1,9.5403,2.8704,19.877,-90,연구센터2
S7B2,9.5403,2.8704,25.3713,-90,연구센터3
S7B3,9.5403,2.8704,30.8656,-90,연구센터4
S7B4,10.4397,2.8704,30.8656,90,연구센터5
S7B5,10.4397,2.8704,25.3713,90,연구센터1
S7B6,10.4397,2.8704,19.877,90,연구센터2
S7B7,19.6072,2.8704,19.877,-90,연구센터3
S7B8,19.6072,2.8704,25.3713,-90,연구센터4
S7B9,19.6072,2.8704,30.8656,-90,연구센터5
S8B1,-17.4235,2.8704,-32.6909,-90,연구센터1
S8B2,-17.4235,2.8704,-27.1966,-90,연구센터2
S8B3,-17.4235,2.8704,-21.7023,-90,연구센터3
S8B4,-17.4235,2.8704,-16.208,-90,연구센터4
S8B5,-16.5297,2.8704,-16.208,90,연구센터5
S8B6,-16.5297,2.8704,-21.7023,90,연구센터1
S8B7,-16.5297,2.8704,-27.1966,90,연구센터2
S8B8,-16.5297,2.8704,-32.6909,90,연구센터3
S8B9,-26.7374,2.8704,-30.5762,90,연구센터4
S8B10,-26.7374,2.8704,-25.082,90,연구센터5
S8B11,-26.7374,2.8704,-19.5877,90,연구센터1
S8B12,-26.7374,2.8704,-14.0934,90,연구센터2
S9B1,-17.4235,2.8704,8.6884,-90,연구센터3
S9B2,-17.4235,2.8704,14.1827,-90,연구센터4
S9B3,-16.5297,2.8704,14.1827,90,연구센터5
S9B4,-16.5297,2.8704,8.6884,90,연구센터1
S9B5,-26.7374,2.8704,10.8031,90,연구센터2
S9B6,-26.7374,2.8704,16.2973,90,연구센터3
S10B1,-17.4235,2.8704,19.677,-90,연구센터4
S10B2,-17.4235,2.8704,25.1713,-90,연구센터5
S10B3,-17.4235,2.8704,30.6656,-90,연구센터1
S10B4,-16.5297,2.8704,30.6656,90,연구센터2
S10B5,-16.5297,2.8704,25.1713,90,연구센터3
S10B6,-16.5297,2.8704,19.677,90,연구센터4
S10B7,-26.7374,2.8704,27.0859,90,연구센터5
S10B8,-26.7374,2.8704,32.5802,90,연구센터5
